name,top_keywords,x,y,discipline_en,discipline_sp
"Prina, Alberto Raul","ycf3, chromosome, cl3, nucleolus, psi, capsicum, pepper",3.758873,0.91926277,Agronomy & Plant Sciences,Botánica y agronomía
"Prina, Daniela Luciana","cardiomems, ars, centrifugal, qaly, cost, hf, icer",-1.0592822,4.39701,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Prina, Florencia Azul","lympha, huerquén, pampeanidades, sociabilidad, caldén, clubes, regional",0.08120203,8.395603,Social Sciences & Humanities,Ciencias sociales y humanidades
"Prina, Ignacio","phip, parahydrogen, hyperpolarized, hiperpolarización, magnetic, cancellation, inhomogeneous",-4.6367745,0.12483561,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Prince, Alejandro","luis, digital, san, innovación, tic, electrónico, información",-0.038087986,6.4173803,Social Sciences & Humanities,Ciencias sociales y humanidades
"Prince, Daiana Lorena","column, monolithic, columns, selector, microextraction, organic, chiral",-3.2860515,-0.74122787,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Prince, Paula Denise","rats, epicatechin, amlodipine, carvedilol, nebivolol, atenolol, fructose",-0.66637933,0.23144662,Cell Biology & Oncology,Biología celular
"Princich, Juan Pablo","epilepsy, desm, sulci, seizures, eeg, mri, seeg",-2.4720387,3.315494,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Principe, Analia","molecularweb, sf4c, walnut, tailocins, pseudomonas, orbitales, sf39a",2.877349,0.53141814,Agronomy & Plant Sciences,Botánica y agronomía
"Principe, Gabriel","mag, peg, vgpcr, quercetina, kaposi, sarcoma, cells",-2.4466388,-0.7902763,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Principe, Romina Elizabeth","streams, stream, afforested, grassland, chironomidae, riffles, assemblages",4.363645,3.871404,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Principi, Cintia Soledad","rhce, rhd, allele, 08n, 01, proband, snv",-1.0496494,2.210334,Cell Biology & Oncology,Biología celular
"Principi, Noelia","luján, cuenca, espacial, lucis, geográfica, sig, digital",1.6449485,6.395612,Social Sciences & Humanities,Ciencias sociales y humanidades
"Principi, Noelia Cecilia","luján, espacial, geografía, geográfica, cuenca, espaciales, digital",1.6740493,6.31751,Social Sciences & Humanities,Ciencias sociales y humanidades
"Principi, Sebastián","canyon, talud, slope, chemosynthetic, seeps, malvinas, continental",5.312238,6.1105394,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Pringe, Hernan Bruno","bohr, cohen, infinitesimal, cassirer, cuántica, høffding, kantian",-1.5629535,8.761396,Social Sciences & Humanities,Ciencias sociales y humanidades
"Pringles, Rolando Marcelo","aggregator, valuation, rooftop, investment, investments, pv, generation",-4.3832374,2.331704,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Printista, Alicia Marcela","uml, evacuation, descriptor, retrieval, pedestrian, search, query",-4.3708754,2.992787,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Priolo, Nora Silvia","araujiain, cn, marianum, buffer, organic, dimethylformamide, araujia",1.8498129,0.4299521,Agronomy & Plant Sciences,Botánica y agronomía
"Priori, Albina Natalia","dagger, matrices, inverse, core, star, ep, weak",-5.988391,2.8932376,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Priotti, Josefina","abz, bzl, cyclodextrin, albendazole, pzq, mbz, complexes",-3.1150415,-1.0831287,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Priotto, Jose Waldemar","azarae, musculinus, species, calomys, females, males, landscape",5.2806945,2.812179,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Priotto, M","estrous, photoperiod, lp, cat, domestic, 05, cats",0.13102064,1.5675513,Cell Biology & Oncology,Biología celular
"Priotto, Marcelo Adrián","bitches, puberty, dogs, deslo, deslorelin, postnatal, uterine",0.10159343,1.562032,Cell Biology & Oncology,Biología celular
"Priotto, Santiago Enrique","covid, mortalidad, 19, diabéticos, población, pacientes, pandemia",-1.2384906,4.5611167,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Prividera, Guido","agricultura, familiar, berazategui, alternativas, dependencia, florencio, rurales",0.8941286,6.126476,Social Sciences & Humanities,Ciencias sociales y humanidades
"Privitelli, Melina Lorena","fq, polynomials, rational, struck, hypersurfaces, ν2, finite",-6.0131416,2.925984,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Privitello, Liliana","sorgo, silaje, ensilado, microsilos, láctico, aditivos, dolicho",1.6927317,1.0365144,Agronomy & Plant Sciences,Botánica y agronomía
"Privitera Signoretta, Ivan Ezequiel","embalse, furcoides, dinófitas, cianobacterias, clorófitas, biomasa, piedras",4.7547355,4.003959,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Proaño Miniguano, Janina Lissette","cg, iron, bsg, feb, ascorbic, cp, spent",0.9985235,0.96939516,Agronomy & Plant Sciences,Botánica y agronomía
"Procaccini, Raul Ariel","silver, mbs, nanoparticles, brass, silica, mesoporous, whitening",-4.3919115,-0.22498627,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Prochetto, Estefanía Soledad","cruzi, vaccine, tsf, ispa, infection, 5fu, immune",0.7751167,-2.7702992,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Prochetto, Santiago","idd, kranz, rna, genes, learning, evolsom, streptophyta",0.21681392,-0.89309,Cell Biology & Oncology,Biología celular
