name,top_keywords,x,y,discipline_en,discipline_sp
A,"ocinaplon, bz, tsallis, poles, anxiety, nitroreductive, sleeping",-6.025377,1.7577542,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Aagaard, Natalia Desiré","au, mpa, sams, rs, thiyl, 111, sulfur",-4.589591,-0.26589113,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Aagesen, Lone","species, c4, paniceae, endemism, andes, clade, flourensia",4.8162446,1.8539486,Agronomy & Plant Sciences,Botánica y agronomía
"Aba, Marcelo Alfredo","llamas, tumores, e2, oestradiol, plasma, day, gnrh",0.1342352,1.6227183,Cell Biology & Oncology,Biología celular
"Abad, Manuel","algebras, implication, wajsberg, algebra, boolean, hoops, mv",-6.222165,3.1638772,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abadi, Diego Alejandro","maimon, deleuze, salomon, derrida, deleuzian, différance, pensamiento",-1.3597866,8.844111,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abadi, Florencia","benjamin, walter, mímesis, redemption, redención, zeus, rememoración",-1.2771051,8.776805,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abadi, Mario Gabriel","galaxies, galaxy, udgs, halo, dark, stellar, mass",-7.8257074,1.7797487,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abadía, María Bernadette","atmospheres, vigor, humidity, grain, germination, seed, elevators",3.111931,2.025877,Agronomy & Plant Sciences,Botánica y agronomía
"Abadie, Nicolás Daniel","denevi, narrativa, argumental, marco, deneviana, estentóreos, sarcástica",-0.5432903,9.157967,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abal Medina, Juan Manuel","1862, gobiernos, argentina, partidos, gobierno, política, electoral",-0.027778493,7.6694736,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abal Medina, Paula","sindicales, trabajadores, capital, sindical, supermarket, coto, union",-0.123134255,7.102454,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abal, Facundo Juan Pablo","prosocial, ítems, items, item, ítem, neuroticismo, escala",-2.092259,5.3691225,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abal, Federico German","macklin, sterba, vidiella, duty, graciela, deliberative, princípio",-0.7884978,6.1451154,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abal, Yamila Soledad","centralidades, informalizado, barrio, informalidades, matanza, catán, pandemia",0.17047867,6.942531,Social Sciences & Humanities,Ciencias sociales y humanidades
"Aballay, Fernando Hernán","fannia, species, fanniidae, cadáveres, carcasses, histeridae, tenebrionidae",6.0221076,2.5810654,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Aballay, Jose Luis","leoncito, astro, meteorological, sky, casleo, observatory, cloud",3.0820596,5.4116864,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Aballay, Laura Rosana","obesity, ic95, física, dietary, ci, obesidad, diet",-0.6469074,4.383263,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Aballay, Pablo M","controller, equations, bench, wines, linear, alcoholicfermentation, solving",-4.5039454,2.5113325,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abalone, Rita Monica","o2, respiration, climate, temperature, tw, storage, projections",2.8664293,2.2102196,Agronomy & Plant Sciences,Botánica y agronomía
"Abalos Irazabal, Mariana","iemanjá, fiesta, celebraciones, afrorreligiosos, afrorreligiosas, ribera, frigerio",0.41675735,8.511991,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abalos Luna, Marcos Gabriel","soto, dignus, agroalfareras, córdoba, sociedades, villa, absoluta",2.8217325,7.7871423,Social Sciences & Humanities,Ciencias sociales y humanidades
"Ábalos, Edgardo","lcg, calcium, research, eclampsia, supplements, avenues, stakeholders",-0.8516956,4.35852,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abalos, Edgardo Javier","aborto, legal, 2020, rosario, barreras, ive, barriers",-0.8329624,6.6022015,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abalos, Julio Fernando","equations, kreiss, hyperbolic, kronecker, unknowns, posed, metrics",-5.999576,2.4153733,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abalos, Rosa Ana","vide, boga, vacuum, sous, patties, rice, bran",1.3111336,1.3966663,Agronomy & Plant Sciences,Botánica y agronomía
"Abán Moreyra, Daira Nahir","flebótomos, cortelezzii, ch, migonei, sm, bm, neivai",5.489581,1.0254766,Agronomy & Plant Sciences,Botánica y agronomía
"Aban, Carla Luciana","bean, soil, monoculture, brizantha, brachiaria, common, microbial",3.1853085,1.6902343,Agronomy & Plant Sciences,Botánica y agronomía
"Aban, Cyntia Estefania","placentas, pirnas, aea, emt, placenta, parto, anandamide",-0.2326093,0.78928065,Cell Biology & Oncology,Biología celular
"Abarca, Camila Lucía","amf, mycorrhizal, arbuscular, yerba, mate, fungi, colonization",4.0636883,1.583528,Agronomy & Plant Sciences,Botánica y agronomía
"Abarca, Ulises","graptolite, graptolites, pridolian, silurian, uncinatograptus, rinconada, faunas",6.2090287,5.384062,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abaroa, Leandro","eddington, s26, super, disk, jet, ultraluminous, ulx",-7.7019696,1.5393422,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abarzúa Cutroni, Anabella Carolina","unesco, 1945, courses, big, sciences, training, sociales",-1.0405635,6.657491,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abarzúa Cutroni, Fernando Daniel","zorra, triassic, cuyana, scaf, rift, taphofloras, lacustrine",5.684859,6.1429367,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abarzúa, Flavio Daniel","frutihorticulture, ambiental, frutihorticultura, negro, tomate, horticultores, tomato",1.1042433,6.393448,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abascal, Liliana del Valle","tolhuin, sandstone, basin, grained, selena, lerma, channel",5.1741776,6.4300184,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abasto, Benjamín","littoral, ss, sedimentos, plastisphere, blanca, nymps, bahía",3.9954696,4.1190605,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abatángelo, Virginia","phages, aureus, bacteriophages, b7, staphylococcus, phage, virulence",1.6438205,-0.94064826,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abate, Anabella Angela","films, 5o10, copolymer, cylinders, ruddlesden, lsfco, popper",-5.042779,0.67900234,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abate, Carlos Mauricio","cr, mc1, vi, streptomyces, shewanella, chromium, sp",2.3103616,1.7010099,Agronomy & Plant Sciences,Botánica y agronomía
"Abate, Juan Cruz","acr, intestinal, itx, rejection, bk, graft, pod",0.51884687,-1.3696895,Cell Biology & Oncology,Biología celular
"Abate, Nicolás Bruno","resolvent, torus, sitter, modular, entanglement, chiral, conjugation",-6.1389384,1.7279407,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abate, Paula","ethanol, alcohol, etoh, prenatal, exposure, operant, rats",-1.5162369,1.2956896,Cell Biology & Oncology,Biología celular
"Abate, Pedro Oscar","ru, het, bpy, tpphz, azobis, ch3cn, nvf",-3.879766,-1.5351577,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abate, Sandro","annunzio, buonarroti, gabriele, ariosto, fedra, orlando, maia",-0.74212724,9.148135,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abate, Sergio Damian","pcmv, nepa, jabalíes, pnep, pomona, ticks, rickettsia",3.4127176,-1.3031087,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abatedaga, Maria Ines de Los Angeles","blsa, tps, bionanotecnología, bionanotechnology, tomato, synthases, inbionatec",1.4750086,-0.7334069,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abba, Agustin Manuel","armadillos, villosus, chaetophractus, armadillo, vellerosus, species, hairy",5.6527934,2.8635004,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abba, Martín Carlos","wwox, cancer, breast, expression, tumor, tumors, rhbdd2",-0.91438633,-1.7854888,Cell Biology & Oncology,Biología celular
"Abbate, E","mtb, γδt, tuberculosis, ctl, cells, patients, tb",2.4384246,-3.225861,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abbate, Eduardo","tuberculosis, pd, tb, cd16, pmn, slam, mo",2.434012,-3.2349887,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abbate, Florencia","demitrópulos, carnelli, desolación, piano, libertad, bertolé, asturias",-0.44048703,8.985428,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abbate, María Mercedes","dmd, myogenic, relapse, patients, expression, cytolytic, gstp1",-0.40866053,-2.2403898,Cell Biology & Oncology,Biología celular
"Abbate, Nicolás","couples, gay, discrimination, heterosexual, rental, transgender, housing",-0.5062115,6.996647,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abbate, Pablo Eduardo","grain, wheat, br, lodging, cd31, spike, tuberculosis",3.3196173,1.5704908,Agronomy & Plant Sciences,Botánica y agronomía
"Abbattista, María Lucía","fahce, weinstein, transnacional, bim, unlp, perspectiva, cuáles",-0.23421179,8.235531,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abbiati, Nidia Nora","epp24, epp36, nct, students, ptc, attitudes, bred",0.28346774,5.516236,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abbona, Cinthia Carolina","guanaco, patagonia, orientalis, guanacos, holocene, dusicyon, recombination",3.3338566,7.3299274,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abbona, Esteban Andrés","berisso, mg, riverbank, wine, exportación, villegas, partidos",1.19306,5.825567,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abbondanza, Sara Celia","territorial, ordenamiento, projects, proyectos, epistemic, fernando, praxis",0.39378682,7.413073,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abbondanzieri, Camila","spief, international, cooperación, internacional, internacionales, 2025, feministas",0.34209383,6.8826575,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abbondio, Federico Gabriel","tourism, turismo, científico, turístico, reuniones, local, astroturismo",1.6655852,7.2165,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abdala Alonso, Lucas Jorge","grain, milling, hardness, vitreousness, maize, quality, carotenoid",3.257982,1.9039549,Agronomy & Plant Sciences,Botánica y agronomía
"Abdala, Alejandro","bovis, spoligotype, tuberculosis, spoligotypes, mycobacterium, sb0520, sb0273",2.9945855,-1.9326733,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abdala, Alejandro Ariel","rva, provirus, g6, bovine, intimin, milk, calves",2.6715643,-1.8481193,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abdala, Cristian Simón","liolaemus, species, liolaemidae, iguania, boulengeri, especies, montanus",6.2425437,3.1046336,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abdala, Fernando","v121, postcanines, pulr, chaliminia, upper, cynodont, eutheriodontia",6.6277213,4.7628994,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abdala, Guillermina Irene","b123, seedlings, sf2, sf3, acid, stressed, sf4",3.2462397,1.2407725,Agronomy & Plant Sciences,Botánica y agronomía
"Abdala, Leila","parto, childbirth, partos, sexual, rafaela, humanizado, arena",-0.9282151,7.473032,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abdala, María Eugenia","foetus, tritrichomonas, isolates, nacimiento, metronidazole, birth, bt",3.036911,-1.5562633,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abdala, Martin Eugenio","responsabilidad, administradores, sociedades, liability, societarios, antijurídico, ley",-0.04325139,6.854728,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abdala, Nelly Roxana","disturbios, bosques, regeneración, forestal, especies, cambios, nativos",4.2586393,2.9596014,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abdala, Nestor Fernando","cynodonts, gomphodont, triassic, permian, galesaurus, mammaliaform, postcanines",6.6450973,4.7325954,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abdala, Virginia Sara Luz","sesamoids, muscles, forelimb, sesamoid, grasping, tendons, flexor",6.322071,3.7657132,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abdian, Patricia Lorena","chdl, rapa2, btae, leguminosarum, rapa, biofilm, rhizobium",2.3869777,-0.08165171,Agronomy & Plant Sciences,Botánica y agronomía
"Abdo Ferez, Maria Cecilia","locke, política, teoría, spinoza, althusser, come, odio",-0.97615373,8.510727,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abduca, Ricardo Gabriel","extensión, universitaria, originarios, irala, práctica, universidad, criollistas",0.6849513,7.886168,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abdulhadi, Augusto","chaco, fondo, federal, provincial, algodonero, algodonera, ucr",0.84450746,6.7836037,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abdulhamid, María Belén","glucosidase, clea, licheniformis, lip2, mclea, bacillus, lip1",1.7173153,0.63650876,Agronomy & Plant Sciences,Botánica y agronomía
"Abdusetir Cerfoglio, Juan Carlos","gag, vlps, fiv, rv, amplicon, vp6, polyprotein",1.883628,-2.0862424,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abeijon Mukdsi, Maria Claudia","crl1446, fermentum, intestinal, lj, sm, fe, cheese",1.5031799,0.039769366,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abeijón, Matías Federico","foucault, michel, tragic, folie, dumézil, psicología, psychology",-1.2130606,8.805918,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abelando, Mariana Inés","ports, shipping, laonome, xeprovala, paraná, marine, river",4.78168,4.1253467,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abeldaño Zuñiga, Roberto Ariel","ghq, disaster, disasters, terremoto, cobertura, 2010, desastre",-0.65033716,5.4706974,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abeledo Machado, Alejandra Inés","pituitary, lactotroph, b2r, prolactinomas, prolactinoma, tgfβ1, prolactin",-0.7974861,-0.22934586,Cell Biology & Oncology,Biología celular
"Abeledo, Leonor Gabriela","grain, barley, wheat, waterlogging, yield, anthesis, tillers",3.273471,1.8947321,Agronomy & Plant Sciences,Botánica y agronomía
"Abeledo, Manuel","ávila, 1517, 1519, crónica, cianca, legendario, concejo",-0.633213,9.16488,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abeles, Martin","tensio, brechas, ricardiana, heuri, restriccio, schumpeteriana, tensão",0.013557517,6.6771994,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abelín, Diego Omar","carrizal, barro, qbf, marayes, quebrada, dinosaurs, triassic",6.3582683,5.073412,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abelleyro, Miguel Martin","f8, inv22, f9, haemophilia, deletions, fviii, severe",-0.067306116,-2.5244498,Cell Biology & Oncology,Biología celular
"Abello, María Alejandra","paucituberculata, microbiotheria, polydolopimorphia, goin, eocene, palaeothentes, marsupialia",6.4861145,4.640191,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abello, Maria Cristina","catalysts, reforming, steam, ethanol, catalyst, mgal2o4, ceo2",-4.825397,-1.0481335,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abellón, Milton","consciousness, spirit, espíritu, autoconciencia, consciousnesses, apetencia, appetite",-1.4871595,8.803415,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abellón, Pamela Celeste","butler, judith, beauvoir, hegel, proposición, 1807, deseo",-1.4115963,8.742042,Social Sciences & Humanities,Ciencias sociales y humanidades
"Aberbuj, Claudia Marcela","centros, política, conocimiento, policy, knowledge, centers, pme",-1.3499004,6.940729,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abeyá, María Mercedes","eav, arteritis, pqe30, m15, virus, estrous, equine",2.5435705,-2.0640604,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abiega, Claudio Daniel","parapsilosis, vvc, patients, rvvc, candidemia, albicans, comorbidities",1.6358542,-1.5168949,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abildgaard, Roxana Evelyn","territorial, covid, propagación, sociohabitacionales, resistencia, 19, precariedad",0.84983486,6.8065825,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abiuso, Adriana María Belén","lct, hdc, leydig, r2c, lcts, tcl, histidine",-0.73842394,-0.1639604,Cell Biology & Oncology,Biología celular
"Abiuso, Federico Luis","policía, delincuencia, inmigración, immigration, crime, revista, aires",-0.32837424,7.6960006,Social Sciences & Humanities,Ciencias sociales y humanidades
"Aboitiz, Pedro","luján, bolivianos, productores, intervención, horticultores, sumaj, kausay",0.8850131,6.248985,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abou Assali, Lubna","porphyria, cutanea, tarda, aip, urod, uroporphyrinogen, hmbs",-0.14303568,-0.27207628,Cell Biology & Oncology,Biología celular
"Aboy Carles, Gerardo","laclau, populismo, ernesto, populism, populistas, hegemony, populist",-0.4325182,8.102213,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abrach, Luisina","himnos, rossetto, órficos, orphic, hexámetros, rudhardt, morand",-1.0258296,9.215114,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abraham Miranda, Julieta","furosemide, albendazole, triethanolamine, solubility, salt, drug, biopharmaceutical",-3.1379566,-1.0219046,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abraham, Analia Graciela","kefir, kefiran, fermented, fermentation, cidca, eps, grains",1.5013922,0.1518181,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abraham, Carlos Omar","credicoop, mendoza, rosa, slm, banco, talquenca, cooperando",1.0764979,6.059338,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abraham, Elena Maria","mendoza, tierras, desertificación, desertification, der, landform, piedemonte",3.8135946,3.5647354,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abraham, Eliana Isabel","luis, urban, san, city, produtivas, tendencias, ciudad",1.1629856,7.0026064,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abraham, Emilia del Carmen","xylol, som, pbde, nades, parabens, sediments, pbdes",-3.3504887,-0.5979547,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abraham, Gustavo Abel","scaffolds, electrospun, poly, nanofibrous, plla, electrospinning, pcl",-3.5350432,-0.037557874,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abraham, Maria Daniela","food, alimentación, purchase, compra, córdoba, elderly, alimentos",-0.30915824,4.831052,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abraham, Maria del Valle","icra, speech, pragmatic, lenguaje, afásicos, communicative, verbal",-2.5271313,5.900254,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abraham, Maria Soledad","temporary, charca, macroinvertebrados, charcas, taxa, hábitats, branchinectidae",4.9904323,3.9045956,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abraham, Mónica","teoaes, adolescentes, hearing, mge, suppressive, adolescents, music",-3.3282955,3.445363,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abraham, Raúl Andrés","electoral, lencinismo, mendoza, 1927, legislación, sáenz, lencinista",0.12500846,7.914387,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abraham, Ricardo Martín","ekeroth, abraham, lester, plasmonics, optical, nanotubes, silver",-4.7027607,0.02929335,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abraham, Solana","males, mating, females, sperm, male, fraterculus, remating",5.6152625,1.3732699,Agronomy & Plant Sciences,Botánica y agronomía
"Abrahamovich, Alberto Horacio","bombus, mite, xylocopa, kuzinia, bee, stenocolletes, woodi",5.6795616,1.8186557,Agronomy & Plant Sciences,Botánica y agronomía
"Abrahamovich, Eliana","tetraciclina, tet, resistencia, cereus, plásmidos, bacillus, tet45",2.6619241,0.29459977,Agronomy & Plant Sciences,Botánica y agronomía
"Abrahan, Carolina Elizabeth","ceramide, photoreceptor, apoptosis, c1p, retina, photoreceptors, glial",-1.5840741,-0.46198726,Cell Biology & Oncology,Biología celular
"Abrahan, Luciana Beatriz","infestans, triatoma, infestación, sordida, garciabesi, rioja, viviendas",4.8433757,-0.14653455,Agronomy & Plant Sciences,Botánica y agronomía
"Abrameto, Mariza Alejandra","perlevis, sponge, tidal, spongivores, hymeniacidon, trophic, macrotidal",4.6544952,4.4011483,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abramo Barrera San Martin, Juca","eco2, pollen, calyceraceae, warming, ranbp1, cyperaceae, seed",3.5706077,1.1142853,Agronomy & Plant Sciences,Botánica y agronomía
"Abramovich, Dalhia Nurit","ovarian, ohss, pcos, follicles, vegf, follicular, pdgfb",-0.24454887,1.0107601,Cell Biology & Oncology,Biología celular
"Abramson, Guillermo","morgani, model, typus, extinction, estrellas, habitat, mathematical",-5.2980843,2.3067272,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abramzon, Fernando","egyptian, mummy, museo, momias, cemetery, elite, ataúdes",2.7902122,7.8580546,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abrantes, Rubén","tbf, fusarium, vczshowed, vcz, itc, vasiformis, saksenaea",2.2746823,-1.0855408,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abre, Paulina","cuyania, terrane, mesoproterozoic, basement, pb, rafael, block",5.6401362,6.1002035,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abregu, Adela Victoria","diabetic, gangliosides, ganglioside, hdl, gm2, diabetes, liver",-0.7044821,0.60609615,Cell Biology & Oncology,Biología celular
"Abregú, Blanca Argentina","litio, solar, lithium, kcl, colemanita, brines, colemanite",1.7513964,4.7087173,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abregú, Débora Anael","solifuges, matings, males, copulatory, sexual, solifugae, mating",6.1132197,2.2639449,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abregú, Ezequiel Lucas","auditory, distance, perception, visual, sound, vdp, cmdl",-3.3992057,3.4306304,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abregú, José Daniel","cardiovascular, tucumán, urban, dlp, quilmes, rural, mujeres",-0.8208898,4.1687794,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abreliano, Fernanda Natalia","pseudoboa, heart, duméril, anuran, nigra, gs, serrana",6.037724,2.9603171,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abrevaya, Sofia","interoception, body, interoceptive, social, learning, image, perceiver",-2.5165923,3.8495417,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abrevaya, Ximena Celeste","mfcs, bioassay, planets, superflare, trappist, microbial, astrobiology",-3.6451664,0.06945687,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abrey Recalde, Maria Jimena","nep, ltc4, cx3cr1, stec, nanoblades, aav6, hus",1.7768989,-1.5416934,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abrial, Elie","floodplain, fish, river, paraná, hydrological, plastic, floods",4.0828443,4.190496,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abriata, Luciano Andres","cua, copper, electron, xacfhab, πu, transfer, protein",-0.60727835,-0.8344074,Cell Biology & Oncology,Biología celular
"Abril, Adriana","soil, litter, suelo, suquía, desmonte, organic, descomposición",3.3305752,2.6145275,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abril, Ernesto Guillermo","fr, chenque, fe, cover, comodoro, rivadavia, modis",3.4243624,4.8530817,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abril, Francisco Manuel","honneth, axel, chiapello, capitalismo, boltanski, capitalism, delito",-1.150101,8.581877,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abril, Gabriela Alejandra","pahs, samplers, capillaris, particulate, industrial, passive, tsp",2.7661676,4.8007274,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abril, Juan Carlos","series, agradecido, naliza, proveerme, time, sidad, univer",-5.0502214,2.6174972,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abril, Marcelo","cruzi, sociedad, qpcr, trypanosoma, vector, argentina, pcr",1.0890613,-2.8245506,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Abril, Marcelo Claudio","rural, sth, children, emtct, ip, unimproved, effortful",-2.1439555,5.327569,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abril, María de Las Mercedes","series, statistics, railway, modelos, approximations, volatility, tiempo",0.10077451,6.1211166,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abril, Mónica","moult, arrival, 2004, seedsnipes, seedsnipe, adults, immatures",5.638673,3.1642663,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abrile, Mariana Guadalupe","ozone, leachate, landfill, uv, sludge, sc, alata",2.278312,2.36457,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abriola, D","197au, barrier, breakup, angular, coulomb, stripping, 198au",-6.284864,0.80498445,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abriola, Daniel Hugo","elastic, inelastic, barrier, energies, 10b, scattering, 10be",-6.2341104,0.7205793,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abriola, Sergio Alejandro","data, xpath, trees, bad, wqo, axiomatizations, rules",-5.6923337,3.0118878,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abritta, Alejandro","ilíada, iliad, hexámetro, hexameter, poemas, versos, metro",-1.0558023,9.287459,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abrutzky, Rosana","medicamentos, pharmaceutical, salud, estatal, health, laboratorios, farmacéutica",-0.27904254,5.901992,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abruzzese, Giselle Adriana","pcos, ovarian, chemerin, pparg, polycystic, androgen, prenatal",-0.36407468,1.0877552,Cell Biology & Oncology,Biología celular
"Abud Sierra, Maria Laura","polen, pollen, allergenic, aerobiológico, alergénico, platanus, angustifolia",4.641227,2.3147993,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Abud, Julián Elías","bp3, ipcr, bpa, htsh, rgst, assay, foxl2",-0.47127044,1.0556613,Cell Biology & Oncology,Biología celular
"Abufager, Paula Natalia","111, leed, spin, au, fetpyp, sams, kondo",-5.023967,-0.008226109,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abuin, Graciela Carmen","abpbi, membranes, h3po4, koh, qpaes, conductivity, alkaline",-4.319802,-0.40027422,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abuin, Pablo","waiting, switched, constraints, control, impulsive, antiviral, equilibria",-4.6452794,2.5397406,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abulafia, Carolina Andrea","load, sleep, circadian, bpd, mdd, melatonin, cognitive",-2.4064007,3.6927497,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abusamra, Lorena","hiv, plwh, semantic, memory, cognitive, word, people",-2.5873585,3.889696,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abusamra, Valeria","comprehension, textos, comprensión, reading, prosodia, prosody, texts",-2.529095,5.9316106,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Acacio, Juan Antonio","muerta, vaca, fracking, neuquén, hidrocarburos, hidrocarburífera, unconventional",0.86166555,6.2873096,Social Sciences & Humanities,Ciencias sociales y humanidades
"Acardi, Soraya Alejandra","longipalpis, leishmania, leishmaniasis, lutzomyia, visceral, lu, phlebotominae",3.8634107,-1.3657701,Infectious Diseases & Microbiology,Microbiología y enfermedades infecciosas
"Accattatis, Victoria","furcoides, mbfg, ceratium, fitness, dominance, niche, trait",5.077225,3.9017124,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Accialini, Paula Lucia","clca2, ctbp1, anandamide, placentas, tgf, aea, endocannabinoid",-0.2375486,0.83293986,Cell Biology & Oncology,Biología celular
